sentence_id	text	start_time	end_time	image_file
S045	some people had sex — physicians of the era believed children conceived after first sleep were healthier and stronger, a claim with no real evidence behind it, but real enough t	182.40	184.87	45. Some people had sex — physicians of the era believed children conceived after first sleep were healthier and stronger, a claim with no real evidence behind it, but real enough t.png
S046	and some people simply talked.	184.87	188.49	46. And some people simply talked..png
S047	in households with no electric light, no screens, and one shared fire slowly dying in the corner, the watch became the unofficial hour for low conversation.	188.49	192.54	47. In households with no electric light, no screens, and one shared fire slowly dying in the corner, the watch became the unofficial hour for low conversation..png
S048	old stories.	192.54	194.50	48. Old stories..png
S049	half-finished arguments.	194.50	205.43	49. Half-finished arguments..png
S050	plans for tomorrow's work.	205.43	217.78	50. Plans for tomorrow's work..png
S051	the kind of talk that only happens when no one can see your face clearly and nobody is in any hurry to go anywhere.	217.78	220.33	51. The kind of talk that only happens when no one can see your face clearly and nobody is in any hurry to go anywhere..png
S052	ekirch traces the disappearance of this pattern to a fairly specific window.	220.33	223.51	52. Ekirch traces the disappearance of this pattern to a fairly specific window..png
S053	affordable street lighting spread through european cities in the late 1600s and 1700s, stretching the evening later than firelight ever had.	223.51	230.44	53. Affordable street lighting spread through European cities in the late 1600s and 1700s, stretching the evening later than firelight ever had..png
S054	then, in 1879, thomas edison's commercially viable light bulb pushed that process to its endpoint.	230.44	232.24	54. Then, in 1879, Thomas Edison's commercially viable light bulb pushed that process to its endpoint..png
S055	factory schedules soon followed, demanding one long, predictable block of unconsciousness instead of two negotiable ones.	232.24	234.48	55. Factory schedules soon followed, demanding one long, predictable block of unconsciousness instead of two negotiable ones..png
S056	by the early 1900s, references to _first sleep_ had all but vanished from english print — not because biology had changed, but because nothing in modern life left room for the w	234.48	236.88	56. By the early 1900s, references to _first sleep_ had all but vanished from English print — not because biology had changed, but because nothing in modern life left room for the w.png
S057	this was not a glitch in pre-modern life.	236.88	243.82	57. This was not a glitch in pre-modern life..png
S058	it was infrastructure.	243.82	248.81	58. It was infrastructure..png
S059	an entire emotional and social system, quietly built around an hour of darkness most of us now spend alone, staring at a ceiling, wondering what is wrong with us.	248.81	257.80	59. An entire emotional and social system, quietly built around an hour of darkness most of us now spend alone, staring at a ceiling, wondering what is wrong with us..png
S060	there may have been a harder reason for it too.	257.80	265.40	60. There may have been a harder reason for it too..png
S061	anthropologists studying small, fire-dependent groups have long noted that someone needed to stay alert in the deepest part of the night — to feed a dying fire, to listen for mo	265.40	273.36	61. Anthropologists studying small, fire-dependent groups have long noted that someone needed to stay alert in the deepest part of the night — to feed a dying fire, to listen for mo.png
S062	a single eight-hour collapse into total unconsciousness is a risk a small group sleeping in the open could not always afford.	273.36	278.94	62. A single eight-hour collapse into total unconsciousness is a risk a small group sleeping in the open could not always afford..png
S063	a staggered watch, built into the biology itself, meant someone nearby was always close to awake.	278.94	285.04	63. A staggered watch, built into the biology itself, meant someone nearby was always close to awake..png
S064	then, in 1990, psychiatrist thomas wehr at the national institute of mental health ran an experiment that gave this old pattern a body.	285.04	288.17	64. Then, in 1990, psychiatrist Thomas Wehr at the National Institute of Mental Health ran an experiment that gave this old pattern a body..png
S065	he took a group of adults and put them in fourteen hours of darkness a night, for a full month, with no clocks, no light, and nothing to do but exist.	288.17	290.27	65. He took a group of adults and put them in fourteen hours of darkness a night, for a full month, with no clocks, no light, and nothing to do but exist..png
S066	by the fourth week, every single one of them split into two distinct sleep bouts, with one to two hours of calm, alert wakefulness sitting between them.	290.27	296.77	66. By the fourth week, every single one of them split into two distinct sleep bouts, with one to two hours of calm, alert wakefulness sitting between them..png
S067	their melatonin spiked during that window instead of dropping.	296.77	300.56	67. Their melatonin spiked during that window instead of dropping..png
S068	their brain waves looked nothing like the ragged static of insomnia.	300.56	303.76	68. Their brain waves looked nothing like the ragged static of insomnia..png
S069	they looked like rest with the lights briefly turned on inside.	303.76	318.67	69. They looked like rest with the lights briefly turned on inside..png
S070	here is the detail that should stop you.	318.67	325.88	70. Here is the detail that should stop you..png
S071	nobody told these people to wake up.	325.88	332.65	71. Nobody told these people to wake up..png
S072	nobody handed them a watch and a job to do.	332.65	341.25	72. Nobody handed them a watch and a job to do..png
S073	their bodies did it on their own, the moment the artificial length of modern light stopped getting in the way.	341.25	350.88	73. Their bodies did it on their own, the moment the artificial length of modern light stopped getting in the way..png
S074	so if this rhythm is sitting under your skin right now, waiting for the right kind of darkness — what happened to it_	350.88	360.19	74. So if this rhythm is sitting under your skin right now, waiting for the right kind of darkness — what happened to it_.png
S075	and why did it disappear so completely that scientists had to rediscover it in a locked research room, three hundred years after it was last mentioned in a diary_	360.19	364.19	75. And why did it disappear so completely that scientists had to rediscover it in a locked research room, three hundred years after it was last mentioned in a diary_.png
S076	but here is the dark turn.	364.19	368.63	76. But here is the dark turn..png
S077	the story is not as clean as _ancient humans slept in two parts, and modern light ruined it for everyone._	368.63	372.63	77. The story is not as clean as _ancient humans slept in two parts, and modern light ruined it for everyone._.png
S078	because in 2015, neuroscientist jerome siegel at ucla did something nobody had thought to do before.	372.63	375.45	78. Because in 2015, neuroscientist Jerome Siegel at UCLA did something nobody had thought to do before..png
S079	he put actigraphy sleep trackers on three modern hunter-gatherer and forager-horticulturalist societies — the hadza of tanzania, the san of namibia, and the tsimane of bolivia —	375.45	378.30	79. He put actigraphy sleep trackers on three modern hunter-gatherer and forager-horticulturalist societies — the Hadza of Tanzania, the San of Namibia, and the Tsimane of Bolivia —.png
S080	if segmented sleep is buried deep in human biology, woven into us by hundreds of thousands of years of evolution, these were the people who should still have it, untouched and i	378.30	381.52	80. If segmented sleep is buried deep in human biology, woven into us by hundreds of thousands of years of evolution, these were the people who should still have it, untouched and i.png
S081	they did not.	381.52	387.67	81. They did not..png
S082	across hundreds of recorded nights, all three groups slept in a single consolidated block, roughly six and a half hours long, with no nightly watch period at all.	387.67	390.59	82. Across hundreds of recorded nights, all three groups slept in a single consolidated block, roughly six and a half hours long, with no nightly watch period at all..png
S083	no first sleep.	390.59	392.67	83. No first sleep..png
S084	no second sleep.	392.67	394.47	84. No second sleep..png
S085	no quiet, firelit hour of talking in the middle.	394.47	403.52	85. No quiet, firelit hour of talking in the middle..png
S086	their bodies simply went down once and got up once, the way a clock unaware of history is supposed to.	403.52	405.86	86. Their bodies simply went down once and got up once, the way a clock unaware of history is supposed to..png
S087	which means the two-part sleep ekirch found in his diaries was probably not some universal ancestral setting that humanity slowly lost.	405.86	412.71	87. Which means the two-part sleep Ekirch found in his diaries was probably not some universal ancestral setting that humanity slowly lost..png
S088	it may have been something far more specific — a pattern that only surfaces when the night itself runs longer than the body's actual need for rest.	412.71	420.36	88. It may have been something far more specific — a pattern that only surfaces when the night itself runs longer than the body's actual need for rest..png
S089	pre-industrial european winters could stretch true darkness to fourteen hours or more.	420.36	426.06	89. Pre-industrial European winters could stretch true darkness to fourteen hours or more..png
S090	given that much night, the body splits the difference and rests twice, with a window of wakefulness in between.	426.06	436.75	90. Given that much night, the body splits the difference and rests twice, with a window of wakefulness in between..png
S091	give it a six-hour tropical night instead, the kind the hadza and the san have always slept under, and it sleeps once, straight through, with nothing left over to spend on a wat	436.75	447.55	91. Give it a six-hour tropical night instead, the kind the Hadza and the San have always slept under, and it sleeps once, straight through, with nothing left over to spend on a wat.png
S092	your 2_47 a.m. is not a fossil passed down unchanged from the pleistocene.	447.55	449.29	92. Your 2_47 a.m. is not a fossil passed down unchanged from the Pleistocene..png
S093	it is something closer to a relationship — between your biology and the length of your particular night — and right now, in your particular life, that relationship has been quie	449.29	459.60	93. It is something closer to a relationship — between your biology and the length of your particular night — and right now, in your particular life, that relationship has been quie.png
S094	this is the part almost nobody talks about.	459.60	461.58	94. This is the part almost nobody talks about..png
S095	we did not just shorten the night.	461.58	463.64	95. We did not just shorten the night..png
S096	we flooded what was left of it with light from the inside, with screens, streetlamps, and bulbs casting nearly a thousand times the brightness our biology evolved to expect afte	463.64	467.48	96. We flooded what was left of it with light from the inside, with screens, streetlamps, and bulbs casting nearly a thousand times the brightness our biology evolved to expect afte.png
S097	that light suppresses melatonin late into the evening, and an alarm clock cuts the morning short before the body is finished.	467.48	474.09	97. That light suppresses melatonin late into the evening, and an alarm clock cuts the morning short before the body is finished..png
S098	we have built a night too bright to fully rest in and too short to fully recover from — then we act surprised when something cracks open in the middle of it at 247.	474.09	482.39	98. We have built a night too bright to fully rest in and too short to fully recover from — then we act surprised when something cracks open in the middle of it at 247..png
S099	which means waking at that hour is not, by itself, a malfunction.	482.39	490.80	99. Which means waking at that hour is not, by itself, a malfunction..png
S100	it might be the most honest thing your body does all day.	490.80	496.26	100. It might be the most honest thing your body does all day..png
S101	it may be your nervous system attempting an old, half-remembered negotiation — first sleep, a watch, second sleep — except now there is no fire to sit by, no household stirring	496.26	503.23	101. It may be your nervous system attempting an old, half-remembered negotiation — first sleep, a watch, second sleep — except now there is no fire to sit by, no household stirring.png
S102	just a phone, a glowing rectangle in the dark, doing nothing your ancestors' fire and voices ever did for them.	503.23	509.97	102. Just a phone, a glowing rectangle in the dark, doing nothing your ancestors' fire and voices ever did for them..png
S103	modern sleep medicine even has a clinical name for this exact pattern_ sleep maintenance insomnia, one of the most commonly diagnosed sleep complaints in adults today.	509.97	514.03	103. Modern sleep medicine even has a clinical name for this exact pattern_ sleep maintenance insomnia, one of the most commonly diagnosed sleep complaints in adults today..png
S104	doctors prescribe melatonin, sedatives, sometimes both, to flatten a rhythm that, in a different century, would have simply been called tuesday night.	514.03	519.75	104. Doctors prescribe melatonin, sedatives, sometimes both, to flatten a rhythm that, in a different century, would have simply been called Tuesday night..png
S105	we medicated an inheritance because we forgot it was one.	519.75	522.12	105. We medicated an inheritance because we forgot it was one..png
S106	the watch did not vanish because your biology changed.	522.12	525.18	106. The watch did not vanish because your biology changed..png
S107	it vanished because everything that used to surround the hour disappeared first — the firelight, the company, the unspoken permission to simply be awake without needing a reaso	525.18	532.44	107. It vanished because everything that used to surround the hour disappeared first — the firelight, the company, the unspoken permission to simply be awake without needing a reaso.png
S108	what is left now is the waking itself, stripped of everything that once made it feel ordinary instead of broken.	532.44	535.64	108. What is left now is the waking itself, stripped of everything that once made it feel ordinary instead of broken..png
S109	you are not malfunctioning at 2_47 in the morning.	535.64	538.14	109. You are not malfunctioning at 2_47 in the morning..png
S110	you are alone, for the first time in human history, inside an hour that was never designed to be spent alone.	538.14	549.57	110. You are alone, for the first time in human history, inside an hour that was never designed to be spent alone..png
S111	the ceiling above you has not changed since the moment you fell asleep.	549.57	556.93	111. The ceiling above you has not changed since the moment you fell asleep..png
S112	but the silence filling the room is doing something your ancestors would have filled instead — with a low voice, a half-finished story, a prayer murmured near a dying fire.	556.93	566.72	112. But the silence filling the room is doing something your ancestors would have filled instead — with a low voice, a half-finished story, a prayer murmured near a dying fire..png
S113	you are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q	566.72	571.73	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S114	it might be the most honest thing your body does all day.	571.73	575.45	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S115	it may be your nervous system attempting an old half remembered negotiation.	575.45	579.71	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S116	first sleep, a watch,	579.71	581.51	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S117	second sleep, except now there is no fire to sit by, no household stirring quietly around you, no ritual built to fill that hour with meaning.	581.51	590.68	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S118	just a phone, a glowing rectangle in the dark, doing nothing your ancestors fire and voices ever did for them.	590.68	597.87	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S119	modern sleep medicine even has a clinical name for this exact pattern, sleep maintenance in somia, one of the most commonly diagnosed sleep complaints in adults today.	597.87	607.78	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S120	doctors prescribed melatonin, sedatives, sometimes both, to flatten a rhythm that, in a different century, would have simply been called tuesday night.	607.78	617.37	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S121	we medicated an inheritance because we forgot it was one.	617.37	621.27	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S122	the watch did not vanish because your biology changed.	621.27	625.21	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S123	it vanished because everything that used to surround the hour disappeared first,	625.21	629.19	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S124	the firelight, the company, the unspoken permission to simply be awake without needing a reason or a diagnosis.	629.19	636.63	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S125	what is left now is the waking itself, stripped of everything that once made it feel ordinary instead of broken.	636.63	643.23	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S126	you are not malfunctioning at 247 in the morning.	643.23	647.11	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S127	you are alone, for the first time in human history,	647.11	650.19	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S128	inside an hour that was never designed to be spent alone.	650.19	653.99	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S129	the ceiling above you has not changed since the moment you fell asleep.	653.99	658.28	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S130	but the silence filling the room is doing something your ancestors would have filled instead, with a low voice, a half finished story, a prayer murmured near a dying fire.	658.28	668.24	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
S131	you are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity quietly switched off.	668.24	678.49	113. You are simply lying inside a much older hour than you realized, in a body still keeping a kind of time the rest of your life forgot, waiting for a companion that electricity q.png
