word	start_time	end_time
stretch	54.34	54.64
of	54.68	54.74
quiet	54.82	55.14
wakefulness	55.18	55.70
sitting	55.72	56.00
between	56.02	56.34
them.	56.38	56.52
historians	57.55	58.19
did	58.23	58.37
not	58.41	58.55
have	58.59	58.73
to	58.77	58.85
dig	58.91	59.07
this	59.11	59.27
up	59.35	59.43
from	59.49	59.63
ruins.	59.69	60.07
it	61.17	61.23
was	61.29	61.41
sitting	61.47	61.71
in	61.77	61.85
plain	61.89	62.17
sight,	62.25	62.55
written	62.81	63.09
into	63.13	63.33
diaries,	63.37	63.85
court	64.19	64.43
records,	64.47	64.87
and	65.27	65.37
folk	65.45	65.69
tales	65.73	66.07
for	66.13	66.27
hundreds	66.33	66.63
of	66.67	66.73
years,	66.79	67.11
hiding	67.49	67.79
in	67.85	67.93
language	67.97	68.31
nobody	68.41	68.73
thought	68.79	69.03
to	69.05	69.15
question.	69.19	69.61
so	70.67	70.83
what	70.89	71.05
changed?	71.11	71.57
and	72.59	72.69
why	72.75	72.93
does	72.95	73.09
your	73.11	73.23
body	73.27	73.59
still	73.63	73.87
seem	73.91	74.13
to	74.17	74.23
know	74.29	74.45
or	74.53	74.57
rhythm	74.61	74.87
you	74.89	74.99
never	75.03	75.23
consciously	75.31	75.81
learned?	75.85	76.15
why	77.21	77.61
247,	77.65	78.27
and	78.59	78.67
not	78.75	78.93
3,	79.01	79.31
or	79.67	79.77
4,	79.87	80.17
or	80.53	80.61
5?	80.71	81.07
the	82.11	82.23
hour	82.27	82.51
your	82.55	82.71
body	82.75	83.05
lands	83.09	83.43
on	83.59	83.67
is	83.75	83.83
suspiciously	83.88	84.53
consistent.	84.59	85.17
historically,	86.22	86.89
that	87.18	87.34
hour	87.38	87.68
even	87.78	87.98
had	88.02	88.16
a	88.20	88.24
name.	88.28	88.54
there	89.58	89.72
is	89.78	89.86
a	89.92	89.94
word	90.00	90.24
for	90.28	90.38
the	90.42	90.50
gap	90.54	90.80
between	90.86	91.16
your	91.20	91.32
first	91.38	91.66
sleep	91.74	92.02
ending	92.14	92.42
and	92.50	92.56
your	92.60	92.72
second	92.78	93.08
sleep	93.12	93.36
beginning.	93.40	93.80
pre-industrial	94.80	95.52
europeans	95.62	96.12
called	96.20	96.46
it	96.52	96.58
the	96.74	96.86
watch.	96.90	97.24
it	98.36	98.42
was	98.46	98.58
not	98.64	98.82
wasted	98.90	99.30
time.	99.36	99.66
it	100.70	100.78
was	100.83	100.97
used	101.14	101.39
deliberately	101.69	102.27
by	102.57	102.69
people	102.77	103.05
who	103.09	103.19
needed	103.23	103.51
it.	103.57	103.63
modern	104.69	105.03
sleep	105.08	105.35
doctors	105.41	105.81
estimate	105.91	106.25
that	106.29	106.43
roughly	106.49	106.81
a	106.89	106.91
third	106.99	107.25
of	107.29	107.33
adults	107.39	107.75
now	107.81	107.99
report	108.03	108.39
waking	108.43	108.75
in	108.77	108.83
the	108.85	108.93
night	108.99	109.19
at	109.25	109.29
least	109.33	109.53
three	109.61	109.81
times	109.87	110.15
a	110.21	110.23
week,	110.29	110.51
almost	110.91	111.19
always	111.31	111.59
around	111.63	111.85
the	111.89	111.97
same	112.01	112.25
one	112.39	112.51
or	112.55	112.63
two	112.69	112.85
hours,	112.91	113.27
a	113.73	113.77
complaint	113.81	114.25
clinics	114.31	114.65
treat	114.71	114.97
as	115.03	115.11
a	115.15	115.19
disorder,	115.23	115.65
with	115.88	116.03
a	116.08	116.11
name	116.16	116.39
and	116.45	116.53
a	116.58	116.59
prescription	116.66	117.16
pad	117.22	117.48
waiting	117.54	117.82
behind	117.86	118.18
it.	118.24	118.32
but	119.30	119.42
before	119.46	119.76
you	119.82	119.94
find	119.98	120.22
out	120.28	120.38
what	120.44	120.58
people	120.62	120.92
once	121.04	121.18
did	121.24	121.40
with	121.44	121.54
that	121.58	121.72
hour,	121.76	122.04
you	122.36	122.44
need	122.48	122.64
to	122.68	122.74
sit	122.80	122.98
with	123.02	123.14
how	123.20	123.32
strange	123.40	123.78
this	123.82	123.98
actually	124.10	124.44
is.	124.46	124.72
your	125.84	126.00
body	126.04	126.36
is	126.42	126.50
still	126.54	126.78
finding	126.84	127.18
that	127.20	127.34
hour.	127.38	127.66
automatically.	128.75	129.43
faithfully.	130.51	131.03
at	132.08	132.16
a	132.20	132.24
time	132.30	132.54
you	132.58	132.70
never	132.74	132.96
chose	133.02	133.38
on	133.70	133.78
a	133.82	133.86
night	133.92	134.10
you	134.14	134.26
didn't	134.28	134.50
plan.	134.54	134.86
in	135.90	136.18
2005,	136.32	136.98
historian	137.32	137.90
a.	137.98	138.06
roger	138.36	138.70
occurred	138.76	139.12
to	139.20	139.26
virginia	139.28	139.70
tech	139.74	139.96
published	140.02	140.34
a	140.40	140.44
study	140.50	140.80
of	140.84	140.92
more	140.98	141.10
than	141.14	141.28
500	141.36	141.86
references	141.90	142.36
to	142.42	142.54
two-part	142.58	143.00
sleep,	143.06	143.34
pulled	143.74	143.94
for	143.96	144.08
medical	144.14	144.46
texts,	144.52	144.92
plays,	145.20	145.56
diaries,	145.82	146.32
and	146.66	146.76
personal	146.84	147.20
letters	147.24	147.52
across	147.58	147.90
pre-industrial	147.96	148.66
europe.	148.76	149.00
people	150.00	150.30
wrote	150.36	150.56
casually	150.62	151.08
about	151.12	151.32
waking	151.38	151.70
for	151.74	151.86
their	151.88	152.04
first	152.22	152.46
sleep,	152.54	152.82
doing	153.16	153.42
something,	153.48	153.86
then	154.18	154.34
returning	154.40	154.78
to	154.82	154.90
their	154.92	155.10
second	155.30	155.62
sleep,	155.66	155.94
before	156.12	156.46
dawn.	156.52	156.84
nobody	157.92	158.28
explained	158.34	158.78
the	158.84	158.92
term.	158.94	159.24
nobody	160.32	160.66
needed	160.72	161.00
to.	161.04	161.20
everyone	162.25	162.61
already	162.73	163.07
understood	163.13	163.59
it.	163.63	163.69
the	164.69	164.81
canterbury	164.85	165.41
tales	165.45	165.77
mentions	165.85	166.23
it	166.29	166.35
directly.	166.39	166.87
so	167.99	168.15
do	168.19	168.35
english	168.41	168.71
court	168.77	168.99
depositions	169.03	169.65
from	169.69	169.83
the	169.85	169.94
1600s,	170.07	170.85
where	171.19	171.38
witnesses	171.42	171.90
placed	171.98	172.26
crimes,	172.32	172.74
after	173.08	173.30
first	173.38	173.64
sleep,	173.70	174.00
the	174.20	174.32
way	174.36	174.48
you	174.52	174.64
might	174.68	174.86
casually	174.92	175.36
say,	175.42	175.70
after	176.02	176.24
lunch.	176.28	176.58
this	177.66	177.84
was	177.88	178.02
not	178.08	178.26
poetic	178.34	178.76
language.	178.82	179.22
it	180.32	180.40
was	180.44	180.58
a	180.62	180.66
timestamp.	180.70	181.36
an	182.40	182.48
ordinary	182.60	183.02
hour	183.08	183.38
with	183.42	183.56
an	183.60	183.66
ordinary	183.74	184.16
name,	184.22	184.47
used	184.87	185.00
by	185.06	185.21
ordinary	185.33	185.75
people	185.81	186.09
who	186.13	186.25
never	186.29	186.51
thought	186.55	186.79
to	186.83	186.91
question	186.97	187.35
it.	187.39	187.47
what	188.49	188.65
happened	188.69	189.01
during	189.05	189.27
that	189.29	189.43
hour	189.47	189.73
matters	189.79	190.11
more	190.19	190.37
than	190.41	190.55
the	190.57	190.67
hour	190.71	190.95
itself?	191.01	191.39
some	192.54	192.74
people	192.78	193.06
prayed.	193.12	193.46
religious	194.50	194.92
manuals	195.00	195.44
from	195.48	195.60
the	195.64	195.72
period	195.76	196.12
specifically	196.14	196.72
recommended	196.78	197.28
the	197.32	197.40
watch	197.44	197.70
is	197.74	197.82
the	197.86	197.96
best	198.00	198.20
time	198.24	198.46
for	198.50	198.64
quiet	198.70	199.02
devotion,	199.06	199.54
because	199.92	200.18
the	200.22	200.32
house	200.36	200.62
was	200.68	200.82
dark,	200.86	201.16
the	201.48	201.60
children	201.64	202.00
were	202.04	202.18
asleep,	202.22	202.60
and	202.86	202.94
the	202.98	203.06
mind	203.10	203.37
was	203.41	203.54
finally	203.60	203.97
calm.	204.00	204.32
some	205.43	205.63
people	205.67	205.95
had	205.99	206.13
sex,	206.23	206.57
physicians	206.93	207.45
of	207.49	207.55
the	207.59	207.69
era	207.79	208.01
believed	208.05	208.39
children	208.47	208.81
conceived	208.85	209.35
after	209.43	209.63
first	209.69	209.95
sleep	210.01	210.27
were	210.29	210.43
healthier	210.47	210.87
and	210.93	211.01
stronger,	211.07	211.49
a	211.89	211.91
claim	211.99	212.25
with	212.29	212.41
no	212.49	212.65
real	212.71	212.91
evidence	212.99	213.33
behind	213.37	213.73
it,	213.77	213.83
but	214.17	214.29
real	214.35	214.55
enough	214.61	214.83
to	214.87	214.97
shape	215.03	215.27
behavior	215.31	215.77
for	215.81	215.93
generations.	215.97	216.67
and	217.78	217.88
some	217.96	218.16
people	218.19	218.47
simply	218.56	218.85
talked	218.91	219.24
in	220.33	220.41
households	220.47	220.97
with	221.01	221.13
no	221.21	221.35
electric	221.43	221.83
light,	221.87	222.11
no	222.41	222.59
screens,	222.65	223.09
and	223.51	223.61
one	223.77	223.89
shared	223.95	224.25
fire	224.33	224.67
slowly	224.73	225.11
dying	225.17	225.51
in	225.53	225.59
the	225.61	225.69
corner,	225.73	226.05
the	226.35	226.47
watch	226.51	226.75
became	226.81	227.15
the	227.17	227.27
unofficial	227.35	227.85
hour	227.87	228.13
for	228.21	228.35
low	228.39	228.59
conversation.	228.65	229.33
old	230.44	230.59
stories.	230.68	231.13
half-finished	232.24	232.84
arguments.	232.96	233.38
plans	234.48	234.82
for	234.86	235.00
tomorrow's	235.04	235.50
work.	235.56	235.82
the	236.88	236.98
kind	237.02	237.22
of	237.26	237.32
talk	237.38	237.62
that	237.66	237.80
only	237.90	238.08
happens	238.12	238.48
when	238.54	238.68
no	238.74	238.86
one	238.94	239.04
can	239.08	239.24
see	239.28	239.44
your	239.46	239.62
face	239.66	239.94
clearly	240.02	240.42
and	240.52	240.60
nobody	240.68	241.02
is	241.10	241.18
in	241.22	241.28
any	241.42	241.58
hurry	241.62	241.90
to	241.94	242.02
go	242.06	242.20
anywhere.	242.28	242.64
a	243.82	243.88
church	243.92	244.22
traces	244.28	244.66
the	244.72	244.80
disappearance	244.84	245.46
of	245.50	245.56
this	245.60	245.74
pattern	245.80	246.16
to	246.20	246.34
a	246.38	246.42
fairly	246.48	246.84
specific	246.88	247.36
window.	247.42	247.76
affordable	248.81	249.29
street	249.33	249.57
lighting	249.63	249.95
spread	249.99	250.27
through	250.29	250.49
european	250.57	251.03
cities	251.09	251.43
in	251.49	251.55
the	251.57	251.65
late	251.69	251.91
1600s	252.07	252.84
and	252.90	252.97
1700s,	253.18	253.96
stretching	254.30	254.70
the	254.74	254.84
evening	254.94	255.20
later	255.24	255.48
than	255.50	255.64
firelight	255.70	256.18
ever	256.28	256.44
had.	256.50	256.74
then,	257.80	258.06
in	258.36	258.44
1879,	258.54	259.68
thomas	260.06	260.38
edison's	260.46	260.84
commercially	260.90	261.40
viable	261.46	261.88
light	261.92	262.14
bulb	262.18	262.46
pushed	262.54	262.80
that	262.84	262.98
process	263.02	263.50
to	263.54	263.66
its	263.70	263.80
endpoint.	263.88	264.32
factory	265.40	265.87
schedule	265.90	266.37
soon	266.44	266.67
followed,	266.75	267.15
demanding	267.37	267.83
one-long,	267.97	268.45
predictable	268.81	269.33
block	269.37	269.63
of	269.67	269.73
unconsciousness	269.83	270.57
instead	270.69	271.01
of	271.05	271.11
two	271.19	271.35
negotiable	271.41	271.97
ones.	272.09	272.27
by	273.36	273.50
the	273.54	273.64
early	273.70	273.94
1900s	274.06	274.82
references	275.04	275.54
to	275.60	275.72
first	275.92	276.16
sleep	276.24	276.52
had	276.70	276.86
all	276.98	277.14
but	277.18	277.32
vanished	277.36	277.72
from	277.76	277.88
english	277.94	278.18
print,	278.24	278.52
not	278.94	279.10
because	279.14	279.42
biology	279.48	280.06
had	280.10	280.22
changed,	280.28	280.72
but	281.00	281.12
because	281.16	281.42
nothing	281.50	281.78
in	281.84	281.92
modern	281.96	282.26
life	282.30	282.50
left	282.56	282.78
room	282.84	283.02
for	283.06	283.18
the	283.20	283.28
watch	283.32	283.54
anymore.	283.60	283.98
this	285.04	285.22
was	285.26	285.38
not	285.46	285.62
a	285.66	285.70
glitch	285.74	286.04
in	286.10	286.18
pre-modern	286.24	286.76
life.	286.81	287.05
it	288.17	288.23
was	288.26	288.40
infrastructure.	288.49	289.21
an	290.27	290.33
entire	290.41	290.83
emotional	290.89	291.41
and	291.47	291.55
social	291.63	291.95
system,	292.01	292.39
quietly	292.73	293.17
built	293.23	293.47
around	293.53	293.79
an	293.83	293.89
hour	293.93	294.21
of	294.25	294.31
darkness	294.37	294.83
most	294.89	295.11
of	295.15	295.21
us	295.29	295.37
now	295.45	295.63
spend	295.71	295.97
alone,	296.03	296.35
staring	296.77	297.15
at	297.19	297.27
a	297.31	297.33
ceiling,	297.41	297.77
wondering	298.11	298.47
what	298.51	298.63
is	298.71	298.79
wrong	298.85	299.07
with	299.09	299.23
us.	299.33	299.41
there	300.56	300.72
may	300.76	300.90
have	300.96	301.06
been	301.08	301.22
a	301.26	301.30
harder	301.34	301.62
reason	301.68	301.98
for	302.06	302.22
it	302.28	302.34
too.	302.40	302.66
anthropologist	303.76	304.58
studying	304.64	305.02
small,	305.08	305.44
fire-dependent	305.78	306.46
groups	306.50	306.78
have	306.82	306.94
long	307.00	307.25
noted	307.32	307.58
that	307.61	307.73
someone	307.81	308.08
needed	308.11	308.35
to	308.38	308.46
stay	308.50	308.73
alert	308.79	309.05
in	309.07	309.13
the	309.17	309.25
deepest	309.29	309.65
part	309.71	309.89
of	309.93	309.97
the	310.01	310.09
night,	310.13	310.37
to	310.73	310.85
feed	310.89	311.11
a	311.15	311.19
dying	311.23	311.55
fire,	311.63	311.97
to	312.29	312.39
listen	312.43	312.73
for	312.79	312.91
movement	312.97	313.31
at	313.37	313.41
the	313.45	313.55
edge	313.63	313.79
of	313.83	313.89
camp,	313.95	314.27
to	314.55	314.65
notice	314.73	315.03
what	315.09	315.25
silence	315.33	315.73
sounded	315.77	316.09
like	316.13	316.31
before	316.37	316.67
it	316.71	316.75
became	316.79	317.09
a	317.15	317.17
problem.	317.21	317.61
a	318.67	318.71
single	318.79	319.09
eight-hour	319.15	319.53
collapse	319.57	319.99
into	320.03	320.23
total	320.29	320.59
unconsciousness	320.67	321.43
is	321.51	321.59
a	321.65	321.69
risk	321.75	321.97
a	322.05	322.11
small	322.15	322.45
group	322.49	322.73
sleeping	322.77	323.15
in	323.19	323.25
the	323.27	323.35
open	323.45	323.67
could	323.71	323.85
not	323.91	324.05
always	324.11	324.39
afford.	324.45	324.79
a	325.88	325.92
staggered	325.98	326.40
watch,	326.46	326.78
built	327.12	327.36
into	327.42	327.60
the	327.62	327.68
biology	327.72	328.29
itself,	328.35	328.75
meant	329.11	329.32
someone	329.39	329.67
nearby	329.71	330.11
was	330.17	330.31
always	330.37	330.67
close	330.73	331.01
to	331.05	331.17
a	331.23	331.25
wake.	331.29	331.57
then,	332.65	332.89
in	333.25	333.31
1990,	333.43	334.09
psychiatrist	334.43	335.21
thomas	335.27	335.65
were	335.73	335.87
at	335.89	335.95
the	335.99	336.07
national	336.11	336.49
institute	336.55	336.99
of	337.03	337.09
mental	337.15	337.43
health	337.47	337.71
ran	337.77	337.95
an	337.99	338.05
experiment	338.11	338.63
that	338.67	338.79
gave	338.83	339.03
this	339.07	339.21
old	339.29	339.43
pattern	339.47	339.79
a	339.83	339.87
body.	339.91	340.23
he	341.25	341.35
took	341.39	341.57
a	341.61	341.65
group	341.69	341.89
of	341.93	341.99
adults	342.05	342.44
and	342.50	342.57
put	342.63	342.77
them	342.81	342.94
in	342.98	343.06
14	343.12	343.56
hours	343.60	343.90
of	343.96	344.02
darkness	344.06	344.48
a	344.54	344.62
night,	344.66	344.88
for	345.24	345.38
a	345.42	345.44
full	345.52	345.74
month,	345.80	346.06
with	346.38	346.52
no	346.60	346.74
clocks,	346.80	347.22
no	347.62	347.76
light,	347.82	348.08
and	348.32	348.42
nothing	348.48	348.78
to	348.82	348.92
do	348.96	349.12
but	349.22	349.34
exist.	349.40	349.78
by	350.88	351.00
the	351.04	351.14
fourth	351.18	351.48
week,	351.52	351.76
every	352.06	352.28
single	352.36	352.68
one	352.76	352.84
of	352.88	352.92
them	352.96	353.12
split	353.20	353.48
into	353.56	353.74
two	353.80	353.96
distinct	354.02	354.44
sleep	354.52	354.78
bouts,	354.84	355.16
with	355.54	355.70
one	355.82	355.94
to	355.98	356.08
two	356.14	356.30
hours	356.36	356.68
of	356.74	356.80
calm,	356.88	357.20
alert	357.52	357.79
wakefulness	357.82	358.35
sitting	358.38	358.64
between	358.69	358.99
them.	359.02	359.19
their	360.19	360.35
melatonin	360.37	360.97
spiked	361.03	361.37
during	361.43	361.65
that	361.69	361.81
window	361.87	362.23
instead	362.31	362.63
of	362.67	362.71
dropping.	362.75	363.17
their	364.19	364.37
brain	364.41	364.73
waves	364.77	365.11
look	365.17	365.37
nothing	365.45	365.73
like	365.77	365.91
the	365.95	366.03
ragged	366.09	366.39
static	366.45	366.85
of	366.91	366.95
insomnia.	367.03	367.61
they	368.63	368.75
look	368.79	368.99
like	369.03	369.21
rest	369.29	369.53
with	369.57	369.69
the	369.73	369.81
lights	369.85	370.11
briefly	370.19	370.57
turned	370.63	370.91
on	370.99	371.05
inside.	371.13	371.59
here	372.63	372.79
is	372.83	372.91
the	372.95	373.03
detail	373.09	373.51
that	373.55	373.67
should	373.71	373.87
stop	373.93	374.17
you.	374.21	374.35
nobody	375.45	375.81
told	375.87	376.09
these	376.13	376.31
people	376.37	376.63
to	376.67	376.77
wake	376.81	377.01
up.	377.13	377.21
nobody	378.30	378.64
handed	378.68	378.98
them	379.02	379.14
a	379.20	379.24
watch	379.30	379.56
and	379.62	379.72
a	379.76	379.78
job	379.84	380.10
to	380.14	380.24
do.	380.26	380.48
their	381.52	381.70
bodies	381.74	382.10
did	382.16	382.32
it	382.34	382.40
on	382.50	382.56
their	382.58	382.76
own,	382.86	383.00
the	383.28	383.38
moment	383.42	383.75
the	383.76	383.87
artificial	383.94	384.44
length	384.49	384.73
of	384.79	384.85
modern	384.90	385.23
light	385.27	385.51
stopped	385.57	385.87
getting	385.93	386.17
in	386.19	386.25
the	386.27	386.35
way.	386.39	386.59
so	387.67	387.81
if	387.89	387.97
this	388.01	388.17
rhythm	388.25	388.55
is	388.61	388.67
sitting	388.71	388.97
under	389.03	389.21
your	389.23	389.37
skin	389.43	389.67
right	389.71	389.91
now,	389.97	390.17
waiting	390.59	390.89
for	390.93	391.03
the	391.05	391.15
right	391.19	391.39
kind	391.43	391.63
of	391.67	391.71
darkness,	391.75	392.21
what	392.67	392.81
happened	392.85	393.15
to	393.19	393.29
it?	393.37	393.45
and	394.47	394.57
why	394.63	394.81
did	394.85	394.99
it	395.03	395.09
disappear	395.13	395.67
so	395.75	395.89
completely	395.95	396.48
that	396.51	396.65
scientists	396.74	397.32
had	397.38	397.52
to	397.54	397.62
rediscover	397.66	398.24
it	398.28	398.34
in	398.38	398.46
a	398.50	398.52
locked	398.56	398.84
research	398.90	399.30
room,	399.34	400.14
300	400.22	400.44
years	400.46	400.74
after	400.86	401.04
it	401.10	401.14
was	401.18	401.28
last	401.32	401.56
mentioned	401.62	401.96
in	402.00	402.06
a	402.10	402.14
diary?	402.18	402.56
but	403.52	403.66
here	403.70	403.92
is	404.00	404.06
the	404.12	404.22
dark	404.24	404.50
turn.	404.56	404.86
the	405.86	406.00
story	406.04	406.40
is	406.48	406.56
not	406.62	406.80
as	406.86	406.92
clean	406.98	407.26
as	407.36	407.46
ancient	407.68	407.96
humans	408.00	408.34
slept	408.40	408.70
in	408.75	408.82
two	408.88	409.05
parts,	409.08	409.41
and	409.81	409.93
modern	409.99	410.33
light	410.35	410.57
ruined	410.65	410.95
it	410.99	411.05
for	411.09	411.21
everyone.	411.29	411.71
because	412.71	413.03
in	413.07	413.13
2015,	413.17	414.29
neuroscientist	414.57	415.37
jerome	415.39	415.83
siegel	415.89	416.24
at	416.31	416.38
ucla	416.52	417.18
did	417.26	417.42
something	417.48	417.80
nobody	417.86	418.18
had	418.22	418.34
thought	418.38	418.64
to	418.66	418.74
do	418.78	418.90
before.	418.94	419.28
he	420.36	420.48
put	420.52	420.68
ethnography	420.74	421.30
sleep	421.34	421.60
trackers	421.64	422.06
on	422.14	422.24
three	422.30	422.54
modern	422.60	422.90
hunter	422.94	423.18
gatherer	423.20	423.62
and	423.68	423.76
forge	423.82	424.18
a	424.20	424.22
horticulturalist	424.24	425.00
societies.	425.04	425.62
the	426.06	426.16
hods	426.20	426.48
are	426.50	426.58
of	426.62	426.68
tanzania,	426.72	427.34
the	427.62	427.74
sand	427.80	428.04
of	428.06	428.12
namibia,	428.16	428.62
and	428.94	429.02
that	429.04	429.14
simon	429.22	429.64
of	429.66	429.72
bolivia,	429.76	430.22
group	430.58	430.84
still	430.90	431.12
living	431.16	431.42
without	431.48	431.76
electricity,	431.82	432.44
almost	432.80	433.11
completely	433.17	433.67
untouched	433.76	434.20
by	434.29	434.43
industrial	434.49	434.99
light	435.02	435.20
pollution.	435.25	435.70
if	436.75	436.83
segmented	436.89	437.43
sleep	437.49	437.77
is	437.83	437.93
very	437.99	438.33
deep	438.37	438.61
in	438.65	438.73
human	438.77	439.07
biology,	439.11	439.69
woven	440.03	440.33
into	440.37	440.57
us	440.65	440.73
by	440.79	440.93
hundreds	441.01	441.31
of	441.35	441.41
thousands	441.47	441.89
of	441.93	441.99
years	442.03	442.27
of	442.31	442.37
evolution,	442.43	442.95
these	443.29	443.49
were	443.53	443.67
the	443.69	443.77
people	443.81	444.07
who	444.11	444.21
should	444.23	444.41
still	444.47	444.69
have	444.73	444.91
it	444.97	445.03
untouched	445.39	445.87
and	445.93	446.01
intact.	446.05	446.51
they	447.55	447.69
did	447.73	447.87
not.	447.93	448.19
across	449.29	449.65
hundreds	449.71	450.01
of	450.05	450.11
recorded	450.15	450.57
nights,	450.63	450.91
all	451.23	451.37
three	451.43	451.65
groups	451.71	452.00
slept	452.06	452.33
in	452.38	452.45
a	452.50	452.51
single	452.62	452.92
consolidated	452.95	453.65
block,	453.69	454.02
roughly	454.38	454.72
six	454.82	455.10
and	455.14	455.24
a	455.28	455.32
half	455.38	455.58
hours	455.62	455.94
long,	456.02	456.30
with	456.62	456.78
no	456.86	457.04
nightly	457.12	457.42
watch	457.48	457.72
period	457.78	458.14
at	458.18	458.24
all.	458.34	458.50
no	459.60	459.76
first	459.84	460.12
sleep.	460.20	460.50
no	461.58	461.78
second	461.88	462.20
sleep.	462.26	462.56
no	463.64	463.82
quiet,	463.92	464.34
fire-lit	464.68	465.12
hour	465.16	465.46
of	465.52	465.56
talking	465.64	465.98
in	466.02	466.08
the	466.10	466.18
middle.	466.20	466.46
their	467.48	467.66
bodies	467.72	468.06
simply	468.14	468.44
went	468.48	468.66
down	468.70	468.92
once	469.08	469.22
and	469.28	469.38
got	469.42	469.62
up	469.66	469.76
once,	469.92	470.08
the	470.46	470.56
way	470.61	470.76
a	470.81	470.85
clock	470.90	471.19
unaware	471.31	471.69
of	471.73	471.79
history	471.85	472.25
is	472.35	472.43
supposed	472.47	472.85
to.	472.89	472.99
which	474.09	474.27
means	474.33	474.57
the	474.61	474.73
two-part	474.75	475.21
sleep-acurch	475.27	475.95
found	476.01	476.27
in	476.31	476.37
his	476.41	476.53
diaries	476.57	477.05
was	477.11	477.25
probably	477.31	477.73
not	477.79	477.97
some	478.03	478.21
universal	478.29	478.77
ancestral	478.83	479.37
setting	479.43	479.73
that	479.77	479.89
humanity	479.93	480.45
slowly	480.49	480.87
lost.	480.91	481.29
it	482.39	482.45
may	482.49	482.67
have	482.71	482.81
been	482.83	482.99
something	483.05	483.39
far	483.47	483.67
more	483.73	483.89
specific,	483.95	484.47
a	484.87	484.91
pattern	484.97	485.33
that	485.35	485.47
only	485.55	485.75
surfaces	485.81	486.33
when	486.37	486.51
the	486.53	486.61
night	486.67	486.83
itself	486.88	487.21
runs	487.30	487.54
longer	487.60	487.92
than	487.95	488.07
the	488.10	488.18
body's	488.21	488.54
actual	488.66	488.96
need	489.00	489.20
for	489.26	489.38
rest.	489.44	489.74
pre-industrial	490.80	491.54
european	491.62	492.06
winters	492.10	492.44
could	492.50	492.66
stretch	492.70	493.00
true	493.06	493.26
darkness	493.30	493.72
to	493.78	493.88
14	493.94	494.38
hours	494.42	494.76
or	494.86	494.92
more.	494.98	495.22
given	496.26	496.52
that	496.54	496.70
much	496.76	496.96
night,	497.04	497.28
