word	start_time	end_time
a	86.11	86.15
single	86.21	86.55
narrow	86.87	87.17
window	87.21	87.53
each	87.63	87.77
year	87.81	88.03
when	88.07	88.21
the	88.23	88.31
most	88.35	88.55
valuable	88.63	89.05
calories	89.09	89.51
on	89.59	89.65
the	89.67	89.75
planet	89.79	90.13
hung	90.17	90.37
from	90.41	90.55
a	90.61	90.63
branch,	90.67	91.03
glowing	91.41	91.75
red	91.83	92.05
and	92.09	92.19
orange,	92.31	92.61
and	92.93	93.03
disappeared	93.09	93.61
again	93.67	93.91
within	93.97	94.23
weeks.	94.29	94.61
what	95.71	95.87
happened	95.93	96.25
inside	96.29	96.71
that	96.73	96.85
window	96.91	97.25
rewired	97.31	97.77
something	97.85	98.15
in	98.19	98.23
the	98.25	98.33
human	98.37	98.67
brain	98.71	99.01
that	99.05	99.17
has	99.21	99.33
not	99.37	99.55
changed	99.61	99.99
since,	100.07	100.37
and	100.81	100.91
it	100.95	101.01
explains,	101.07	101.61
with	101.93	102.09
uncomfortable	102.17	102.73
precision,	102.77	103.21
why	103.55	103.73
grief	103.81	104.13
and	104.31	104.39
a	104.43	104.45
candy	104.51	104.87
bar	104.91	105.17
ended	105.27	105.47
up	105.53	105.63
wired	105.69	106.01
to	106.05	106.15
the	106.19	106.27
same	106.31	106.55
circuit.	106.61	106.99
but	107.95	108.05
that	108.09	108.27
is	108.33	108.41
only	108.49	108.71
half	108.77	108.99
the	109.05	109.15
story.	109.19	109.57
around	110.63	110.93
50	111.13	111.37
million	111.41	111.73
years	111.77	111.99
ago,	112.03	112.27
the	112.63	112.75
ancestors	112.87	113.43
of	113.49	113.55
modern	113.63	113.95
primates	113.99	114.43
evolved	114.51	114.89
something	114.95	115.27
unusual,	115.35	115.85
full-color	116.25	116.83
vision.	116.85	117.15
in	118.21	118.27
1996,	118.39	118.99
biologist	119.73	120.35
gerald	120.39	120.75
jacobs	120.79	121.23
at	121.29	121.35
the	121.39	121.47
university	121.53	122.03
of	122.07	122.13
california,	122.19	122.83
santa	123.23	123.52
barbara,	123.56	123.89
traced	124.22	124.52
this	124.56	124.73
shift	124.80	125.06
directly	125.09	125.52
back	125.58	125.78
to	125.81	125.92
fruit.	125.95	126.24
most	127.28	127.54
mammals	127.62	127.98
see	128.02	128.20
only	128.34	128.52
a	128.58	128.62
narrow	128.68	129.04
range	129.10	129.38
of	129.42	129.50
blues	129.56	129.92
and	130.00	130.10
yellows.	130.14	130.52
primates	131.61	132.07
gained	132.13	132.41
the	132.43	132.53
ability	132.59	132.99
to	133.05	133.15
see	133.19	133.37
red	133.45	133.67
and	133.73	133.81
orange	133.93	134.17
clearly,	134.25	134.65
the	135.01	135.11
exact	135.19	135.59
colors	135.67	135.99
of	136.05	136.13
rightening	136.19	136.57
fruit	136.65	136.87
against	136.93	137.21
green	137.27	137.53
leaves.	137.57	137.89
this	138.99	139.17
was	139.23	139.35
not	139.43	139.61
decorative.	139.67	140.15
it	141.21	141.27
was	141.31	141.43
a	141.49	141.51
targeting	141.57	142.01
system,	142.07	142.43
built	142.75	142.99
so	143.05	143.17
the	143.21	143.31
i	143.39	143.45
could	143.49	143.63
find	143.67	143.89
a	143.99	144.03
few	144.07	144.25
days	144.29	144.56
each	144.63	144.79
fruit	144.88	145.09
was	145.16	145.28
edible	145.40	145.68
before	145.74	146.01
it	146.06	146.12
rotted	146.18	146.47
or	146.56	146.63
vanished.	146.69	147.12
rightness,	148.19	148.68
in	149.01	149.12
other	149.18	149.35
words,	149.40	149.70
was	149.98	150.12
a	150.18	150.20
deadline.	150.24	150.72
unrightfruit	151.80	152.44
is	152.50	152.58
often	152.70	152.96
bitter,	153.00	153.26
sometimes	153.62	154.12
toxic,	154.18	154.66
defended	154.96	155.40
chemically	155.46	155.88
by	155.92	156.04
the	156.08	156.16
plant	156.20	156.48
itself.	156.52	156.90
right-fruit	158.03	158.57
is	158.63	158.71
a	158.77	158.81
brief	158.85	159.11
truce,	159.17	159.53
sugar	159.99	160.29
spiking	160.33	160.75
for	160.81	160.97
a	161.01	161.03
few	161.09	161.25
days	161.29	161.57
as	161.67	161.77
a	161.81	161.85
reward	161.91	162.29
for	162.35	162.47
spreading	162.51	162.87
the	162.89	162.97
plant	163.01	163.31
seeds.	163.37	163.73
missed	164.85	165.09
that	165.11	165.27
window	165.35	165.73
and	165.79	165.89
the	165.91	165.97
calories	166.03	166.49
are	166.55	166.63
gone,	166.67	166.99
eaten	167.25	167.47
by	167.51	167.66
something	167.72	168.01
else	168.07	168.25
or	168.34	168.44
rotting	168.50	168.78
on	168.82	168.88
the	168.92	168.98
ground.	169.02	169.38
this	170.44	170.62
single	170.68	170.98
fact	171.04	171.34
shaped	171.42	171.70
something	171.76	172.08
deeper	172.12	172.42
than	172.44	172.58
eyesight.	172.70	174.40
in	174.70	174.80
2014,	174.84	175.38
anthropologists	175.72	176.48
nathaniel	176.52	177.02
domini	177.06	177.44
at	177.50	177.56
dartmouth	177.60	177.96
college	177.98	178.32
proposed	178.36	178.80
that	178.82	178.94
the	178.98	179.06
entire	179.12	179.52
reward	179.58	179.96
circuit	180.02	180.34
tied	180.38	180.65
to	180.69	180.78
sweetness	180.84	181.28
and	181.32	181.43
primates	181.47	181.91
evolved	181.97	182.31
around	182.37	182.63
scarcity,	182.69	183.17
not	183.51	183.69
abundance.	183.73	184.21
sweet	185.37	185.69
never	185.77	185.99
meant	186.03	186.27
treat.	186.45	186.75
sweet	187.83	188.11
meant	188.15	188.33
the	188.37	188.45
window	188.49	188.77
is	188.85	188.95
open,	189.05	189.31
take	189.61	189.81
it	189.85	189.91
now,	189.97	190.21
it	190.63	190.69
will	190.73	190.89
not	190.93	191.09
last.	191.15	191.55
the	192.59	192.69
brain	192.73	193.05
that	193.07	193.21
hesitated	193.27	193.83
lost	193.89	194.17
the	194.21	194.31
calories.	194.33	194.85
the	195.91	196.03
brain	196.07	196.37
that	196.39	196.53
grabbed	196.57	196.91
immediately	196.97	197.47
survived	197.53	198.01
the	198.05	198.17
season	198.21	198.55
that	198.57	198.71
followed.	198.75	199.16
that	200.18	200.38
urgency	200.47	200.90
had	200.96	201.10
to	201.14	201.18
be	201.22	201.32
stored	201.36	201.68
somewhere.	201.74	202.12
it	203.20	203.28
landed	203.34	203.68
in	203.72	203.80
dopamine,	203.84	204.38
the	204.72	204.82
chemical	204.86	205.24
responsible	205.30	205.90
not	205.96	206.12
for	206.16	206.30
pleasure	206.36	206.70
itself,	206.74	207.14
but	207.54	207.66
for	207.68	207.78
the	207.82	207.88
drive	207.92	208.20
towards	208.24	208.50
something	208.54	208.84
before	208.88	209.16
you	209.20	209.32
have	209.38	209.56
it.	209.60	209.68
in	210.69	210.77
1996,	210.89	211.86
princeton	212.22	212.60
researcher	212.64	213.10
bartley	213.16	213.48
hobel	213.52	213.82
found	213.86	214.10
that	214.12	214.26
rats	214.32	214.56
give	214.60	214.74
an	214.76	214.82
intermittent	214.86	215.34
access	215.44	215.78
to	215.82	215.94
sugar	216.00	216.24
developed	216.28	216.70
dopamine	216.74	217.22
surges	217.28	217.66
nearly	217.72	218.00
identical	218.08	218.56
to	218.62	218.71
those	218.75	218.94
seen	218.99	219.25
in	219.31	219.37
addiction	219.43	219.81
models,	219.85	220.19
the	220.45	220.57
sugar	220.63	220.91
circuit	220.95	221.27
overlapping	221.35	221.85
precisely	221.91	222.43
with	222.49	222.63
seeking,	222.69	223.07
not	223.39	223.55
with	223.59	223.73
satisfaction.	223.79	224.55
now	225.65	225.88
add	226.03	226.19
stress	226.24	226.58
to	226.64	226.72
the	226.76	226.86
system.	226.90	227.24
in	228.28	228.54
2003,	228.68	229.28
physiologist	229.64	230.40
mary	230.46	230.76
dolman	230.78	231.14
at	231.18	231.24
the	231.26	231.36
university	231.42	231.90
of	231.94	232.00
california,	232.06	232.66
san	233.08	233.24
francisco,	233.28	233.82
published	234.16	234.50
research	234.58	235.04
showing	235.10	235.38
that	235.42	235.54
comfort	235.62	235.96
foods,	236.03	236.34
sugar	236.81	237.10
and	237.21	237.31
fat	237.37	237.59
specifically,	237.63	238.27
measureably	238.57	239.03
reduced	239.09	239.45
the	239.49	239.59
stress	239.61	239.91
hormone	239.95	240.33
response	240.37	240.81
in	240.87	240.95
lab	240.99	241.23
animals.	241.31	241.65
cortisol	242.73	243.27
dropped.	243.31	243.69
the	244.71	244.83
animals	244.95	245.29
didn't	245.35	245.57
even	245.63	245.81
need	245.85	246.03
to	246.05	246.11
be	246.15	246.25
hungry.	246.31	246.67
the	247.69	247.81
craving	247.85	248.25
was	248.29	248.44
never	248.51	248.74
really	248.81	249.07
about	249.13	249.36
energy.	249.42	249.76
it	250.84	250.90
was	250.94	251.06
the	251.12	251.20
brain	251.24	251.54
trying	251.60	251.84
to	251.88	251.94
shut	252.00	252.20
off	252.26	252.40
an	252.44	252.50
alarm	252.54	252.86
using	252.96	253.16
the	253.20	253.30
oldest	253.40	253.68
tool	253.72	253.96
it	254.02	254.08
had.	254.12	254.34
among	255.51	255.79
hunter-gatherer	255.87	256.51
groups	256.55	256.81
studied	256.87	257.19
directly,	257.23	257.73
the	258.04	258.13
pattern	258.18	258.54
holds.	258.56	258.89
anthropologist	260.04	260.77
alyssa	260.83	261.19
kritenden,	261.24	261.68
working	261.98	262.27
with	262.30	262.42
the	262.45	262.51
hodzer	262.56	262.94
of	262.98	263.04
tanzania	263.08	263.68
beginning	263.72	264.08
in	264.10	264.16
the	264.18	264.26
early	264.34	264.56
2000s,	264.60	265.24
documented	265.60	266.18
that	266.22	266.36
honey	266.42	266.70
and	266.76	266.86
right	266.92	267.14
fruit	267.20	267.46
were	267.50	267.62
the	267.64	267.72
most	267.76	267.94
desired,	267.98	268.50
most	268.78	269.00
fought	269.06	269.28
over	269.34	269.52
foods	269.58	269.90
in	269.94	270.02
the	270.04	270.12
entire	270.16	270.56
diet,	270.60	270.94
prioritized	271.22	271.94
even	272.02	272.20
over	272.24	272.42
protein-dense	272.46	273.10
meat,	273.14	273.34
gathered	273.70	274.06
urgently	274.16	274.56
and	274.64	274.72
eaten	274.78	275.00
almost	275.08	275.36
immediately	275.42	275.92
rather	275.98	276.22
than	276.26	276.38
stored.	276.46	276.82
sweetness	277.94	278.40
was	278.44	278.58
never	278.64	278.86
something	278.90	279.22
to	279.26	279.36
manage	279.40	279.72
carefully.	279.78	280.22
it	281.30	281.36
was	281.40	281.54
something	281.58	281.90
to	281.94	282.02
seize	282.08	282.34
the	282.40	282.48
moment	282.52	282.82
it	282.86	282.92
appeared,	282.96	283.36
because	283.68	283.94
the	283.98	284.08
moment	284.10	284.40
never	284.46	284.66
lasted.	284.70	285.16
this	286.18	286.36
explains	286.42	286.90
why	286.96	287.10
the	287.14	287.24
contrast	287.28	287.80
matters	287.86	288.18
so	288.26	288.42
much	288.48	288.68
today.	288.74	289.06
a	290.14	290.18
wild	290.26	290.60
fig	290.68	290.94
study	290.99	291.31
by	291.35	291.46
botanists	291.50	292.11
rarely	292.25	292.56
tests	292.62	292.95
above	293.03	293.33
6	293.57	293.67
to	293.71	293.81
8	293.87	294.01
percent	294.05	294.43
sugar.	294.47	294.77
a	295.83	295.87
modern	295.93	296.29
supermarket	296.35	296.95
grape,	296.99	297.27
bred	297.61	297.81
over	297.85	298.03
centuries	298.11	298.55
for	298.61	298.75
exactly	298.79	299.25
this	299.29	299.45
craving,	299.51	299.91
regularly	300.25	300.73
tests	300.81	301.13
above	301.21	301.47
20	301.63	301.79
percent.	301.83	302.23
the	303.27	303.39
plant	303.43	303.73
did	303.77	303.89
not	303.95	304.09
change	304.15	304.49
on	304.55	304.63
its	304.69	304.79
own.	304.91	305.05
for	306.12	306.26
thousands	306.32	306.74
of	306.78	306.84
years,	306.90	307.20
humans	307.56	307.90
kept	307.96	308.16
selecting	308.22	308.68
the	308.70	308.80
sweetest	308.84	309.22
fruit	309.26	309.46
available	309.50	309.96
and	310.04	310.12
replanting	310.18	310.72
its	310.76	310.86
seeds,	310.90	311.24
slowly	311.58	311.96
turning	312.02	312.30
a	312.36	312.40
rare	312.46	312.66
seasonal	312.72	313.12
reward	313.16	313.52
into	313.58	313.76
something	313.80	314.10
closer	314.16	314.52
to	314.56	314.64
constant,	314.70	315.18
long	315.52	315.78
before	315.82	316.16
any	316.24	316.40
factory	316.46	316.88
was	316.92	317.06
involved.	317.10	317.61
for	318.69	318.83
roughly	318.89	319.21
200,000	319.23	320.23
years,	320.25	320.57
this	320.91	321.05
system	321.11	321.45
worked	321.51	321.73
exactly	321.77	322.23
as	322.31	322.37
designed,	322.41	322.91
a	323.27	323.33
rare	323.37	323.59
signal,	323.67	324.03
tightly	324.37	324.71
tied	324.77	325.05
to	325.09	325.21
a	325.27	325.29
real	325.37	325.63
and	325.71	325.81
narrow	325.87	326.19
season	326.25	326.59
of	326.63	326.69
abundance	326.75	327.19
before	327.25	327.57
winter	327.63	327.91
scarcity.	327.95	328.43
there	329.43	329.59
was	329.61	329.73
no	329.81	329.97
daily	330.03	330.35
access.	330.47	330.89
there	332.00	332.14
was	332.18	332.28
no	332.36	332.50
constant	332.60	333.08
supply.	333.10	333.50
the	334.56	334.66
circuit	334.72	335.06
assumes	335.11	335.49
scarcity	335.56	336.06
as	336.17	336.25
a	336.31	336.35
permanent	336.39	336.77
condition.	336.81	337.27
that	338.31	338.47
assumption	338.51	338.97
held	339.03	339.25
all	339.35	339.49
the	339.51	339.61
way	339.65	339.83
until	339.89	340.15
something	340.21	340.53
happened	340.59	340.91
that	340.95	341.05
the	341.09	341.17
circuit	341.21	341.55
was	341.59	341.71
never	341.79	341.99
built	342.05	342.25
to	342.29	342.37
survive.	342.43	342.89
but	343.93	344.05
here	344.11	344.31
is	344.39	344.47
the	344.51	344.61
dark	344.65	344.89
turn.	344.95	345.27
in	346.31	346.38
the	346.42	346.51
early	346.56	346.80
1980s,	346.81	347.62
executives	347.98	348.56
inside	348.66	349.06
the	349.10	349.18
american	349.22	349.68
food	349.74	349.98
industry	350.02	350.40
began	350.46	350.78
deliberately	350.82	351.32
engineering	351.42	351.90
products	351.96	352.36
around	352.44	352.72
what	352.76	352.88
researchers	352.94	353.52
called	353.60	353.84
the	353.88	353.98
bliss	354.12	354.38
point,	354.44	354.70
the	354.98	355.08
precise	355.12	355.52
concentration	355.58	356.26
of	356.28	356.36
sugar	356.44	356.70
that	356.76	356.90
maximizes	356.96	357.67
craving	357.75	358.12
without	358.17	358.47
triggering	358.55	358.91
the	358.95	359.03
body's	359.07	359.41
natural	359.49	359.87
shutoff	359.91	360.33
response.	360.37	360.85
food	362.00	362.26
scientists	362.34	362.86
howard	362.88	363.18
moscoids,	363.22	363.80
consulting	364.17	364.70
across	364.76	365.08
the	365.13	365.23
industry	365.29	365.69
through	365.73	365.91
the	365.93	366.01
1980s	366.11	366.73
and	366.79	366.87
90s,	366.99	367.31
mathematically	367.75	368.41
modeled	368.49	368.83
that	368.85	368.99
point	369.07	369.29
for	369.33	369.45
products	369.49	369.87
ranging	369.95	370.29
from	370.33	370.47
soda	370.57	370.87
to	370.91	371.03
salad	371.09	371.41
dressing,	371.43	371.81
optimizing	372.13	372.69
not	372.75	372.93
for	372.97	373.09
nutrition	373.13	373.63
but	373.71	373.83
for	373.85	373.97
the	373.99	374.09
exact	374.15	374.53
signal	374.61	374.89
your	374.91	375.07
50	375.19	375.41
million	375.45	375.71
year	375.73	375.89
old	375.91	376.03
visual	376.07	376.48
and	376.54	376.63
dopamine	376.68	377.18
system	377.21	377.56
was	377.60	377.72
built	377.78	377.98
to	378.02	378.12
chase.	378.16	378.48
this	379.60	379.78
means	379.86	380.10
the	380.14	380.24
urgency	380.32	380.76
you	380.80	380.94
feel	380.98	381.20
standing	381.26	381.62
in	381.66	381.74
front	381.78	381.94
of	381.96	382.02
a	382.04	382.06
vending	382.16	382.46
machine	382.50	382.86
after	382.98	383.20
a	383.24	383.26
bad	383.32	383.54
day	383.60	383.82
is	383.92	383.98
not	384.06	384.22
a	384.26	384.28
coincidence	384.34	384.90
and	385.30	385.40
not	385.46	385.64
a	385.68	385.72
personal	385.76	386.14
failing.	386.20	386.52
it	387.54	387.60
is	387.66	387.72
a	387.78	387.80
precision	387.84	388.28
engineered	388.34	388.74
echo	388.82	389.08
of	389.14	389.20
a	389.26	389.28
starvation	389.32	389.90
season	389.94	390.28
alarm,	390.32	390.66
tuned	390.94	391.20
by	391.24	391.36
people	391.42	391.70
who	391.74	391.86
understood	391.92	392.34
the	392.38	392.48
ancient	392.58	392.86
circuit	392.92	393.22
better	393.26	393.46
than	393.50	393.62
you	393.66	393.80
do,	393.84	394.04
sitting	394.40	394.66
fully	394.74	395.02
exposed	395.08	395.56
in	395.60	395.68
a	395.70	395.74
fluorescent	395.78	396.26
hallway,	396.30	396.66
available	396.94	397.40
every	397.52	397.70
hour	397.74	398.02
of	398.08	398.14
every	398.22	398.42
day,	398.46	398.68
with	399.02	399.16
no	399.24	399.40
season,	399.46	399.84
no	400.12	400.28
scarcity,	400.34	400.84
and	401.20	401.30
no	401.36	401.50
shut	401.56	401.78
off.	401.90	402.02
and	403.14	403.25
grief	403.32	403.64
makes	403.73	403.94
it	404.00	404.06
worse.	404.11	404.43
sadness,	405.64	406.19
like	406.53	406.69
physical	406.75	407.15
threat,	407.21	407.51
raises	407.83	408.17
cortisol.	408.23	408.81
your	409.85	410.03
ancient	410.13	410.41
system	410.47	410.81
reads	410.89	411.17
rising	411.25	411.61
cortisol	411.65	412.17
the	412.21	412.31
same	412.35	412.57
way	412.65	412.85
whether	412.91	413.15
the	413.17	413.25
cause	413.31	413.63
is	413.71	413.79
a	413.85	413.87
predator	413.93	414.33
or	414.49	414.59
a	414.65	414.67
phone	414.73	415.03
call	415.09	415.29
you	415.31	415.41
didn't	415.45	415.65
want	415.67	415.81
to	415.85	415.91
receive.	415.95	416.33
it	417.39	417.45
does	417.49	417.65
not	417.71	417.85
distinguish	417.91	418.45
between	418.49	418.81
danger	418.87	419.25
and	419.35	419.43
heartbreak.	419.49	420.04
it	421.12	421.18
simply	421.26	421.58
activates	421.70	422.16
the	422.22	422.32
oldest	422.44	422.72
shut-off	422.80	423.26
switch	423.28	423.54
it	423.60	423.64
has	423.68	423.80
ever	423.90	424.08
owned,	424.20	424.40
sweetness,	424.72	425.18
urgency,	425.54	426.00
take	426.34	426.54
it	426.60	426.64
now.	426.70	426.92
the	427.94	428.04
candy	428.10	428.44
bar	428.48	428.74
was	428.80	428.92
never	429.00	429.24
really	429.30	429.56
about	429.62	429.84
hunger.	429.90	430.20
it	431.28	431.34
was	431.38	431.50
about	431.56	431.80
silencing	431.90	432.42
an	432.46	432.54
alarm	432.58	432.90
that	432.94	433.06
has	433.08	433.18
been	433.20	433.36
ringing	433.40	433.72
in	434.05	434.12
one	434.25	434.37
form	434.44	434.75
or	434.81	434.90
another	434.96	435.26
for	435.57	435.71
200,000	435.73	436.69
years.	436.73	437.03
step	438.23	438.51
back	438.55	438.75
far	438.83	439.03
enough	439.11	439.37
and	439.47	439.55
the	439.57	439.65
picture	439.69	440.01
changes.	440.05	440.51
this	441.61	441.79
was	441.85	441.99
never	442.07	442.29
really	442.37	442.63
a	442.69	442.73
story	442.77	443.11
about	443.17	443.37
willpower,	443.41	443.97
or	444.27	444.37
sugar,	444.47	444.77
or	445.07	445.17
even	445.25	445.45
food.	445.53	445.77
it	446.88	446.94
was	446.98	447.10
a	447.14	447.16
story	447.24	447.56
about	447.62	447.80
a	447.84	447.88
brain-built	447.92	448.48
for	448.54	448.68
a	448.72	448.74
world	448.80	449.08
with	449.12	449.26
one	449.40	449.52
narrow	449.56	449.86
window	449.90	450.20
of	450.24	450.30
safety	450.38	450.70
each	450.78	450.94
year,	450.98	451.22
now	451.60	451.76
living	451.80	452.04
inside	452.10	452.46
a	452.50	452.54
world	452.60	452.82
that	452.86	453.00
manufactured	453.06	453.72
that	453.76	453.88
window	453.94	454.28
and	454.38	454.46
left	454.50	454.72
it	454.76	454.82
open	454.90	455.14
permanently.	455.18	455.66
every	456.76	456.99
aisle	457.15	457.33
of	457.37	457.43
a	457.49	457.53
grocery	457.57	457.99
store	458.03	458.39
is,	458.47	458.57
in	458.99	459.07
a	459.13	459.15
sense,	459.23	459.57
a	459.89	459.93
frozen-rightening	459.99	460.77
season,	460.83	461.21
engineered	461.47	461.89
never-to-end,	461.97	462.63
reachable	462.99	463.43
at	463.47	463.55
three	463.63	463.85
in	463.87	463.93
the	463.97	464.03
morning	464.07	464.39
if	464.45	464.51
you	464.53	464.65
want	464.69	464.91
it.	464.95	465.03
your	466.05	466.21
body	466.25	466.57
still	466.63	466.87
runs	466.93	467.15
the	467.21	467.31
original	467.37	467.73
program.	467.79	468.19
when	469.24	469.36
you	469.40	469.50
feel	469.54	469.76
low,	469.82	470.06
when	470.32	470.48
something	470.54	470.86
hurts,	470.90	471.20
when	471.54	471.66
the	471.70	471.78
day	471.82	472.02
has	472.06	472.18
taken	472.24	472.52
more	472.58	472.72
than	472.78	472.90
it	472.94	473.00
gave	473.04	473.26
back,	473.32	473.61
the	473.99	474.11
same	474.14	474.38
circuit	474.46	474.79
that	474.81	474.94
once	475.06	475.19
sent	475.23	475.40
your	475.43	475.56
ancestors	475.64	476.19
running	476.25	476.49
toward	476.55	476.79
a	476.83	476.87
fig	476.93	477.15
tree	477.21	477.43
before	477.47	477.77
winter	477.83	478.11
sends	478.17	478.41
you	478.43	478.55
toward	478.59	478.81
whatever	478.85	479.17
sweetness	479.25	479.69
is	479.77	479.85
nearest.	479.89	480.31
you	481.37	481.49
are	481.55	481.65
not	481.69	481.87
broken	481.93	482.29
when	482.35	482.47
this	482.51	482.65
happens.	482.69	483.13
you	484.23	484.33
are	484.41	484.51
simply	484.57	484.91
old	485.05	485.19
and	485.25	485.35
away	485.39	485.63
no	485.71	485.87
calendar	485.91	486.35
can	486.41	486.55
measure.	486.59	486.91
the	487.93	488.05
branch	488.09	488.43
changed.	488.51	488.99
the	490.01	490.13
vending	490.17	490.49
machine	490.53	490.93
changed.	490.99	491.47
the	492.49	492.61
grief	492.63	492.93
is	493.01	493.09
real	493.17	493.45
and	493.75	493.85
modern	493.91	494.29
and	494.53	494.61
entirely	494.69	495.25
yours.	495.29	495.65
but	496.70	496.82
the	496.84	496.94
response	496.98	497.42
underneath	497.50	497.90
it	497.96	498.02
is	498.08	498.14
the	498.18	498.28
same	498.34	498.56
one	498.66	498.74
a	498.78	498.82
primate	498.88	499.30
used	499.40	499.54
50	499.68	499.92
million	499.96	500.30
years	500.32	500.54
ago,	500.58	500.82
in	501.22	501.30
a	501.34	501.38
forest	501.44	501.78
none	501.86	502.00
of	502.02	502.08
us	502.16	502.26
will	502.30	502.46
ever	502.52	502.68
see,	502.76	503.00
trying	503.36	503.60
to	503.64	503.72
outlast	503.80	504.24
a	504.28	504.32
season	504.38	504.72
that	504.76	504.90
no	504.98	505.10
